,capacity,eightd_has_key_dispenser,lat,lon,name,region_id,rental_url,short_name,station_id
401,39,False,40.78524672,-73.97667321,Amsterdam Ave & W 82 St,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3171,7360.10,3171
402,27,False,40.7785669,-73.97754961,W 74 St & Columbus Ave,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3172,7230.10,3172
403,39,False,40.777507027547976,-73.98888587951659,Riverside Blvd & W 67 St,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3173,7183.03,3173
404,31,False,40.77748046,-73.98288594,W 70 St & Amsterdam Ave,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3175,7207.08,3175
405,63,False,40.7867947,-73.977112,W 84 St & Broadway,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3177,7409.08,3177
406,39,False,40.78414472,-73.98362492,Riverside Dr & W 78 St,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3178,7340.06,3178
407,23,False,40.698617,-73.941342,Park Ave & Marcus Garvey Blvd,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3179,4768.02,3179
408,31,False,40.69878,-73.99712,Brooklyn Bridge Park - Pier 2,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3180,4829.05,3180
409,42,False,40.686931,-74.016966,Yankee Ferry Terminal,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3182,4440.01,3182
410,30,False,40.7162469,-74.0334588,Exchange Place,70,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3183,JC001,3183
411,14,False,40.7141454,-74.0335519,Paulus Hook,70,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3184,JC002,3184
412,22,False,40.7177325,-74.043845,City Hall,70,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3185,JC003,3185
413,42,True,40.71958611647166,-74.04311746358871,Grove St PATH,70,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3186,JC005,3186
414,22,False,40.7211236,-74.03805095,Warren St,70,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3187,JC006,3187
415,18,False,40.7182113,-74.0836394,Union St,70,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3191,JC051,3191
416,22,False,40.7112423,-74.0557013,Liberty Light Rail,70,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3192,JC052,3192
417,18,False,40.7246050998869,-74.07840594649315,Lincoln Park,70,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3193,JC053,3193
418,22,False,40.7253399253558,-74.06762212514877,McGinley Square,70,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3194,JC055,3194
419,38,False,40.73074262530658,-74.06378388404846,Sip Ave,70,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3195,JC056,3195
420,18,False,40.7443187,-74.0439909,Riverview Park,70,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3196,JC057,3196
421,18,False,40.748715945380226,-74.04044330120087,Heights Elevator,70,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3198,JC059,3198
422,14,False,40.7287448,-74.0321082,Newport Pkwy,70,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3199,JC008,3199
423,18,False,40.737711,-74.066921,Dey St,70,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3201,JC065,3201
424,18,False,40.7272235,-74.0337589,Newport PATH,70,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3202,JC066,3202
425,26,False,40.727595966,-74.044247311,Hamilton Park,70,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3203,JC009,3203
426,22,False,40.71653978099194,-74.0496379137039,JC Medical Center,70,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3205,JC011,3205
427,26,False,40.7311689,-74.0575736,Hilltop,70,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3206,JC019,3206
428,26,False,40.7376037,-74.0524783,Oakland Ave,70,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3207,JC022,3207
429,22,False,40.7241765,-74.0506564,Brunswick St,70,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3209,JC023,3209
430,18,False,40.742677141,-74.051788633,Pershing Field,70,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3210,JC024,3210
431,22,False,40.72152515,-74.046304543,Newark Ave,70,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3211,JC032,3211
432,22,False,40.734785818,-74.050443636,Christ Hospital,70,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3212,JC034,3212
433,22,False,40.71848892,-74.047726625,Van Vorst Park,70,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3213,JC035,3213
434,22,False,40.7127742,-74.0364857,Essex Light Rail,70,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3214,JC038,3214
435,18,False,40.734961020009514,-74.0595030784607,5 Corners Library,70,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3220,JC018,3220
436,27,False,40.743,-73.93561,47 Ave & 31 St,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3221,6151.03,3221
437,53,False,40.758996559605116,-73.96865397691727,E 55 St & 3 Ave,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3223,6691.12,3223
438,14,False,40.7236589,-74.0641943,Baldwin at Montgomery,70,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3225,JC020,3225
439,45,True,40.78275,-73.97137,W 82 St & Central Park West,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3226,7304.08,3226
440,39,False,40.76780080148132,-73.96592080593109,E 67 St & Park Ave,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3231,6932.14,3231
441,31,False,40.68962188790333,-73.98304268717766,Bond St & Fulton St,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3232,4479.06,3232
442,39,False,40.75724567911726,-73.97805914282799,E 48 St & 5 Ave,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3233,6626.01,3233
443,31,False,40.752165280621966,-73.97992193698882,E 41 St & Madison Ave,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3235,6474.12,3235
444,33,False,40.75898481399634,-73.99379968643188,W 42 St & Dyer Ave,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3236,6644.07,3236
445,19,False,40.686203,-73.944694,Monroe St & Tompkins Ave,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3241,4434.06,3241
446,39,False,40.69102925677968,-73.99183362722397,Schermerhorn St & Court St,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3242,4565.04,3242
447,29,False,40.75892386377695,-73.96226227283478,E 58 St & 1 Ave,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3243,6682.03,3243
448,31,False,40.73143724085228,-73.99490341544151,University Pl & E 8 St,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3244,5755.14,3244
449,19,False,40.6803560840434,-73.9476791024208,Verona Pl & Fulton St,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3249,4124.04,3249
450,29,False,40.69231660719192,-74.01486575603485,Soissons Landing,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3254,4590.01,3254
451,19,False,40.7505853470215,-73.9946848154068,8 Ave & W 31 St,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3255,6450.05,3255
452,22,False,40.7277140777778,-74.01129573583603,Pier 40 - Hudson River Park,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3256,5696.03,3256
453,37,False,40.75018156325683,-74.00218427181244,W 27 St & 10 Ave,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3258,6382.08,3258
454,27,False,40.74937024193277,-73.99923384189606,9 Ave & W 28 St,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3259,6416.08,3259
455,31,False,40.72706363348306,-73.99662137031554,Mercer St & Bleecker St,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3260,5679.05,3260
456,59,False,40.72951496224949,-73.99075269699097,Cooper Square & Astor Pl,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3263,5712.03,3263
457,14,False,40.7124188237569,-74.03852552175522,Morris Canal,70,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3267,JC072,3267
458,14,False,40.71346382669195,-74.06285852193832,Lafayette Park,70,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3268,JC078,3268
459,14,False,40.72601172964625,-74.05038893222809,Brunswick & 6th,70,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3269,JC081,3269
460,14,False,40.72528910781132,-74.04557168483734,Jersey & 6th St,70,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3270,JC027,3270
461,14,False,40.72333158646436,-74.04595255851744,Jersey & 3rd,70,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3272,JC074,3272
462,18,False,40.721650724879986,-74.04288411140442,Manila & 1st,70,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3273,JC082,3273
463,14,False,40.71835519823214,-74.03891444206238,Columbus Drive,70,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3275,JC014,3275
464,26,False,40.71458403535893,-74.04281705617905,Marin Light Rail,70,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3276,JC013,3276
465,14,False,40.71435836870427,-74.06661093235016,Communipaw & Berry Lane,70,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3277,JC084,3277
466,14,False,40.72568548362901,-74.04879033565521,Monmouth and 6th,70,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3278,JC075,3278
467,18,False,40.721630142638354,-74.04996782541275,Dixon Mills,70,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3279,JC076,3279
468,14,False,40.71928220070702,-74.07126188278198,Astor Place,70,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3280,JC077,3280
469,14,False,40.74590996631558,-74.0572714805603,Leonard Gordon Park,70,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3281,JC080,3281
470,38,True,40.78307,-73.95939,5 Ave & E 88 St,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3282,7323.10,3282
471,47,False,40.7882213,-73.97041561,W 89 St & Columbus Ave,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3283,7432.09,3283
